snapshot,switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
1,s6,0x100001b87f302,0,40000,566.528,618,25956,arp,"CONTROLLER:65535,clear_actions","cookie=0x100001b87f302, duration=566.528s, table=0, n_packets=618, n_bytes=25956, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s3,0x10000c77ed347,0,40000,566.711,379,15918,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000c77ed347, duration=566.711s, table=0, n_packets=379, n_bytes=15918, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s3,0x100004cf6878e,0,5,566.711,11,814,ip,"CONTROLLER:65535,clear_actions","cookie=0x100004cf6878e, duration=566.711s, table=0, n_packets=11, n_bytes=814, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s3,0x100004171190a,0,40000,566.706,355,48635,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100004171190a, duration=566.706s, table=0, n_packets=355, n_bytes=48635, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s3,0x10000c1bf0c62,0,40000,566.700,355,48635,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000c1bf0c62, duration=566.700s, table=0, n_packets=355, n_bytes=48635, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s8,0x10000ea3aff62,0,40000,566.772,990,41580,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000ea3aff62, duration=566.772s, table=0, n_packets=990, n_bytes=41580, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s8,0x100007ce8bf2c,0,40000,566.772,885,121066,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100007ce8bf2c, duration=566.772s, table=0, n_packets=885, n_bytes=121066, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s8,0x10000d39fb05f,0,5,566.772,47,4572,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000d39fb05f, duration=566.772s, table=0, n_packets=47, n_bytes=4572, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s8,0x10000006b2aa5,0,40000,566.772,885,121066,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000006b2aa5, duration=566.772s, table=0, n_packets=885, n_bytes=121066, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s11,0x10000819dbe1d,0,40000,566.018,569,23898,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000819dbe1d, duration=566.018s, table=0, n_packets=569, n_bytes=23898, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s11,0x100005e2652e6,0,40000,566.018,528,72512,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100005e2652e6, duration=566.018s, table=0, n_packets=528, n_bytes=72512, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s11,0x100004271e9d6,0,5,566.018,12,1032,ip,"CONTROLLER:65535,clear_actions","cookie=0x100004271e9d6, duration=566.018s, table=0, n_packets=12, n_bytes=1032, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s11,0x100002f817f8c,0,40000,566.018,528,72512,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100002f817f8c, duration=566.018s, table=0, n_packets=528, n_bytes=72512, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s14,0x100008582d567,0,40000,565.686,352,48395,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100008582d567, duration=565.686s, table=0, n_packets=352, n_bytes=48395, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
